timestamp,type,side,price,quantity
1778413636414,A,B,10209,0.00020000
1778413636414,A,B,10202,0.00309000
1778413636414,A,B,10182,0.00384000
1778413636414,A,S,10258,1.39417000
1778413636414,A,S,10299,0.00020000
1778413636514,A,B,10202,0.00309000
1778413636514,A,B,10182,0.00384000
1778413636514,A,B,10106,0.00030000
1778413636514,A,B,9993,0.00048000
1778413636614,A,B,10238,0.00400000
1778413636614,A,B,10046,0.00100000
1778413636614,A,B,10182,0.00400000
1778413636614,A,S,10258,1.39727000
1778413636614,A,S,10470,0.00095000
1778413636714,A,B,10250,0.00400000
1778413636714,A,B,10246,0.00400000
1778413636714,A,B,9991,0.01937000
1778413636714,A,B,9962,0.00436000
1778413636714,A,B,10182,0.00400000
1778413636814,A,B,10258,9.73125000
1778413636814,A,B,10182,0.00408000
1778413636814,A,B,10182,0.00010000
1778413636814,A,B,10107,0.00300000
1778413636915,A,B,10258,9.73113000
1778413636915,A,B,10243,0.07425000
1778413636915,A,B,10218,0.00020000
1778413636915,A,B,10182,0.00400000
1778413636915,A,B,10182,0.00010000
1778413636915,A,S,10302,0.00020000
1778413637014,A,B,10244,0.00007000
1778413637014,A,B,10202,0.00309000
1778413637014,A,B,9768,0.00032000
1778413637014,A,B,10182,0.00416000
1778413637014,A,B,10106,0.00030000
1778413637014,A,S,10258,1.39585000
1778413637014,A,S,10274,1.58627000
1778413637014,A,S,10277,0.00007000
1778413637114,A,B,10232,0.02200000
1778413637114,A,B,10182,0.00416000
1778413637114,A,S,10295,0.00371000
1778413637114,A,S,10296,0.04607000
1778413637114,A,S,10448,0.00040000
1778413637214,A,B,10258,9.11992000
1778413637214,A,B,9962,0.02373000
1778413637214,A,B,10182,0.00416000
1778413637214,A,S,10263,0.23034000
1778413637314,A,B,10258,9.79113000
1778413637314,A,B,10238,0.00400000
1778413637314,A,B,9962,0.00436000
1778413637314,A,B,10182,0.00416000
1778413637314,A,S,10258,1.29902000
1778413637314,A,S,10274,1.53755000
1778413637314,A,S,10287,0.00400000
1778413637314,A,S,10287,0.04824000
1778413637314,A,S,10290,0.04872000
1778413637414,A,B,10182,0.00416000
1778413637414,A,S,10274,1.48883000
1778413637414,A,S,10290,0.04872000
1778413637515,A,B,9962,0.00753000
1778413637515,A,B,10182,0.00432000
1778413637515,A,B,10106,0.00030000
1778413637515,A,S,10258,1.09831000
1778413637515,A,S,10264,0.31449000
1778413637515,A,S,10267,0.00464000
1778413637515,A,S,10269,0.28263000
1778413637614,A,B,10046,0.00100000
1778413637614,A,B,10182,0.00448000
1778413637614,A,B,9955,0.00182000
1778413637614,A,S,10258,1.09941000
1778413637614,A,S,10265,0.42517000
1778413637614,A,S,10267,0.00008000
1778413637614,A,S,10267,0.35561000
1778413637614,A,S,10470,0.00095000
1778413637715,A,B,10232,0.02000000
1778413637715,A,B,10232,0.00200000
1778413637715,A,B,10182,0.00448000
1778413637715,A,S,10258,1.51077000
1778413637715,A,S,10274,1.53755000
1778413637715,A,S,10296,0.00200000
1778413637715,A,S,10296,0.04407000
1778413637715,A,S,10297,0.00200000
1778413637815,A,B,10064,0.00752000
1778413637815,A,B,9773,0.00093000
1778413637815,A,B,10182,0.00448000
1778413637914,A,B,10182,0.00448000
1778413637914,A,B,10182,0.00030000
1778413638014,A,B,10250,0.00400000
1778413638014,A,B,10246,0.00400000
1778413638014,A,B,10244,0.00007000
1778413638014,A,B,10238,0.00408000
1778413638014,A,B,10197,0.00010000
1778413638014,A,B,10182,0.00448000
1778413638014,A,B,10182,0.00010000
1778413638014,A,B,10106,0.00030000
1778413638014,A,S,10277,0.00007000
1778413638114,A,B,10238,0.00400000
1778413638114,A,B,10238,0.00008000
1778413638114,A,B,10182,0.00448000
1778413638114,A,B,10182,0.00010000
1778413638114,A,S,10258,1.51067000
1778413638114,A,S,10293,0.08097000
1778413638114,A,S,10452,0.08105000
1778413638114,A,S,10453,0.08097000
1778413638114,A,S,10455,0.08097000
1778413638114,A,S,10455,0.08097000
1778413638114,A,S,10456,0.08097000
1778413638114,A,S,10457,0.08097000
1778413638214,A,B,10258,9.79102000
1778413638214,A,B,10250,0.00400000
1778413638214,A,B,10246,0.00400000
1778413638214,A,B,10170,0.09249000
1778413638214,A,B,10182,0.00416000
1778413638214,A,S,10274,1.53755000
1778413638315,A,B,10182,0.00416000
1778413638315,A,S,10258,1.50863000
1778413638315,A,S,10267,0.35569000
1778413638315,A,S,10274,1.53755000
1778413638315,A,S,10290,0.04872000
1778413638414,A,B,10258,9.79090000
1778413638414,A,B,10174,0.01237000
1778413638414,A,B,10171,0.87748000
1778413638414,A,B,10171,1.29543000
1778413638414,A,B,10182,0.00432000
1778413638414,A,S,10258,1.50553000
1778413638514,A,B,10258,9.79081000
1778413638514,A,B,10246,0.00400000
1778413638514,A,B,10182,0.00432000
1778413638514,A,B,10106,0.00030000
1778413638514,A,S,10258,1.50863000
1778413638514,A,S,10279,0.00400000
1778413638614,A,B,10258,9.79062000
1778413638614,A,B,10217,0.37118000
1778413638614,A,B,10182,0.00432000
1778413638614,A,S,10258,1.50541000
1778413638614,A,S,10265,0.29356000
1778413638614,A,S,10265,0.42509000
1778413638614,A,S,10267,0.00008000
1778413638614,A,S,10267,0.35561000
1778413638714,A,B,10046,0.00100000
1778413638714,A,B,10182,0.00416000
1778413638714,A,B,10107,0.00300000
1778413638714,A,S,10274,1.58627000
1778413638814,A,B,10182,0.00400000
1778413638914,A,B,10248,0.00007000
1778413638914,A,B,10243,0.07425000
1778413638914,A,B,10182,0.00400000
1778413638914,A,S,10258,1.50851000
1778413638914,A,S,10274,1.58627000
1778413639014,A,B,10244,0.00007000
1778413639014,A,B,10174,1.30780000
1778413639014,A,B,10182,0.00400000
1778413639014,A,B,10182,0.00010000
1778413639014,A,B,10106,0.00030000
1778413639014,A,S,10277,0.00007000
1778413639115,A,B,10182,0.00400000
1778413639115,A,S,10287,0.00400000
1778413639214,A,B,10182,0.00400000
1778413639214,A,S,10279,0.00400000
1778413639314,A,B,10258,8.99062000
1778413639314,A,B,10240,0.00040000
1778413639314,A,B,10182,0.00400000
1778413639414,A,B,10246,0.00400000
1778413639414,A,B,10174,0.01237000
1778413639414,A,B,10171,1.29543000
1778413639414,A,B,10182,0.00416000
1778413639414,A,S,10274,1.58627000
1778413639414,A,S,10279,0.00400000
1778413639414,A,S,10355,0.10596000
1778413639514,A,B,10258,9.77825000
1778413639514,A,B,10182,0.00416000
1778413639514,A,B,10106,0.00030000
1778413639514,A,S,10258,1.50541000
1778413639614,A,B,10217,0.37110000
1778413639614,A,B,10182,0.00416000
1778413639614,A,B,9955,0.00195000
1778413639614,A,S,10269,0.00008000
1778413639614,A,S,10284,0.00008000
1778413639614,A,S,10287,0.00400000
1778413639714,A,B,10171,0.87748000
1778413639714,A,B,10046,0.00100000
1778413639714,A,B,10182,0.00416000
1778413639714,A,S,10279,0.00400000
1778413639714,A,S,10470,0.00095000
1778413639814,A,B,10182,0.00416000
1778413639914,A,B,10258,9.76328000
1778413639914,A,B,10250,0.00400000
1778413639914,A,B,10174,1.30780000
1778413639914,A,B,10182,0.00416000
1778413639914,A,B,10182,0.00010000
1778413639914,A,S,10258,1.50532000
1778413640014,A,B,10241,0.00200000
1778413640014,A,B,10238,0.00400000
1778413640014,A,B,10182,0.00432000
1778413640014,A,B,10106,0.00030000
1778413640014,A,B,10106,0.00010000
1778413640014,A,S,10287,0.00400000
1778413640014,A,S,10290,0.00200000
1778413640114,A,B,10258,9.75008000
1778413640114,A,B,10244,0.00007000
1778413640114,A,B,10083,0.08097000
1778413640114,A,B,10082,0.08097000
1778413640114,A,B,10081,0.08097000
1778413640114,A,B,10079,0.08097000
1778413640114,A,B,10078,0.08097000
1778413640114,A,B,10077,0.08097000
1778413640114,A,B,10182,0.00432000
1778413640114,A,B,10182,0.00030000
1778413640114,A,S,10277,0.00007000
1778413640214,A,B,10182,0.00448000
1778413640214,A,B,10182,0.00010000
1778413640214,A,S,9579,0.00482000
1778413640314,A,B,10258,9.46283000
1778413640314,A,B,9962,0.02373000
1778413640314,A,B,10182,0.00448000
1778413640314,A,S,10258,1.50842000
1778413640314,A,S,10274,1.53755000
1778413640314,A,S,10290,0.04872000
1778413640414,A,B,10258,9.75008000
1778413640414,A,B,10182,0.00448000
1778413640414,A,S,10258,1.50532000
1778413640414,A,S,10274,1.58627000
1778413640414,A,S,9579,0.02935000
1778413640514,A,B,10182,0.00448000
1778413640514,A,B,10106,0.00030000
1778413640614,A,B,10088,0.10895000
1778413640614,A,B,10087,0.10895000
1778413640614,A,B,10086,0.10895000
1778413640614,A,B,10085,0.10895000
1778413640614,A,B,9962,0.00753000
1778413640614,A,B,10182,0.00432000
1778413640614,A,S,10437,0.10895000
1778413640714,A,B,10258,9.76060000
1778413640714,A,B,10214,0.54831000
1778413640714,A,B,10174,0.95170000
1778413640714,A,B,10046,0.00100000
1778413640714,A,B,10182,0.00432000
1778413640714,A,S,10276,0.00008000
1778413640714,A,S,10276,0.00008000
1778413640714,A,S,10287,0.00400000
1778413640714,A,S,10470,0.00095000
1778413640814,A,B,10243,0.07425000
1778413640814,A,B,10182,0.00432000
